"imei","gps_time","heart_time","lng","lat"
"864297800005909","1482982446","1482982446","110.018184","22.077013"
"864297800005909","1482984126","1482984126","110.018184","22.077013"
"864297800005909","1482993174","1482993174","109.760898","21.891938"
"864297800005909","1482996562","1482996562","109.87058","22.029098"
"864297800005909","1483007402","1483007402","109.998846","22.265873"
"864297800005909","1483009486","1483009486","109.998715","22.266051"
"864297800005909","1483011286","1483011286","109.998752","22.265874"
"864297800005909","1483013078","1483013078","109.997915","22.076437"
"864297800005909","1483014882","1483014882","109.999202","22.077287"
"864297800005909","1483016679","1483016679","109.999322","22.077199"
"864297800005909","1483018488","1483018488","109.999252","22.077157"
"864297800005909","1483020276","1483020276","110.003635","22.079615"
"864297800005909","1483022067","1483022067","109.998811","22.265737"
"864297800005909","1483023886","1483023886","109.998672","22.266015"
"864297800005909","1483025686","1483025686","109.998817","22.265995"
"864297800005909","1483027486","1483027486","109.99876","22.266026"
"864297800005909","1483029276","1483029276","109.999175","22.266062"
"864297800005909","1483031076","1483031076","109.998953","22.265813"
"864297800005909","1483032876","1483032876","109.998874","22.265967"
"864297800005909","1483034677","1483034677","109.998659","22.2658"
"864297800005909","1483036486","1483036486","109.998801","22.265692"
"864297800005909","1483038266","1483038266","109.99885","22.265747"
"864297800005909","1483040076","1483040076","109.998918","22.265863"
"864297800005909","1483041877","1483041877","109.998753","22.265767"
"864297800005909","1483043686","1483043686","109.998644","22.265879"
"864297800005909","1483045476","1483045476","109.999053","22.265865"
"864297800005909","1483047277","1483047277","109.998866","22.265762"
"864297800005909","1483049076","1483049076","109.998633","22.26564"
"864297800005909","1483050876","1483050876","109.998756","22.265639"
"864297800005909","1483052676","1483052676","109.998689","22.265781"
"864297800005909","1483054476","1483054476","109.998758","22.265732"
"864297800005909","1483056287","1483056287","109.998724","22.26606"
"864297800005909","1483058077","1483058077","109.99873","22.265826"
"864297800005909","1483059876","1483059876","109.99889","22.265779"
"864297800005909","1483061678","1483061678","110.00028","22.301742"
"864297800005909","1483063478","1483063478","110.129569","22.571613"
"864297800005909","1483065272","1483065272","110.099202","22.777355"
"864297800005909","1483067021","1483067021","109.717296","22.980478"
"864297800005909","1483068818","1483068818","109.663299","23.05293"
"864297800005909","1483070388","1483070388","109.663299","23.05293"
"864297800005909","1483072179","1483072179","109.663299","23.05293"
"864297800005909","1483073982","1483073982","109.706312","22.923865"
"864297800005909","1483075776","1483075776","110.095722","22.77657"
"864297800005909","1483077580","1483077580","110.095659","22.776497"
"864297800005909","1483079382","1483079382","110.350302","22.804741"
"864297800005909","1483081183","1483081183","110.715556","22.859002"
"864297800005909","1483082730","1483082730","110.950003","22.916524"
"864297800005909","1483083322","1483083322","110.992206","22.919439"
"864297800005909","1483084520","1483084520","110.993441","22.924675"
"864297800005909","1483085120","1483085120","110.993342","22.924561"
"864297800005909","1483086330","1483086330","110.993342","22.924561"
"864297800005909","1483088180","1483088180","110.993342","22.924561"
"864297800005909","1483089941","1483089941","110.993411","22.924705"
"864297800005909","1483090540","1483090540","110.99331","22.924724"
"864297800005909","1483091736","1483091736","110.993413","22.924737"
"864297800005909","1483092335","1483092335","110.993409","22.924694"
"864297800005909","1483093544","1483093544","110.993409","22.924694"
"864297800005909","1483094139","1483094139","110.978762","22.921579"
"864297800005909","1483095316","1483095316","111.001145","22.91791"
"864297800005909","1483095928","1483095928","111.005492","22.919901"
"864297800005909","1483097139","1483097139","111.005454","22.920062"
"864297800005909","1483097738","1483097738","111.005349","22.920189"
"864297800005909","1483098939","1483098939","111.005464","22.920119"
"864297800005909","1483099549","1483099549","111.005334","22.920127"
"864297800005909","1483100749","1483100749","111.005633","22.920167"
"864297800005909","1483101349","1483101349","111.005332","22.920179"
"864297800005909","1483102529","1483102529","111.005625","22.920125"
"864297800005909","1483103139","1483103139","111.005496","22.920109"
"864297800005909","1483104341","1483104341","111.005386","22.919816"
"864297800005909","1483104939","1483104939","111.005527","22.919937"
"864297800005909","1483106149","1483106149","111.014058","22.915181"
"864297800005909","1483106739","1483106739","111.009008","22.923462"
"864297800005909","1483107947","1483107947","111.003113","22.920606"
"864297800005909","1483108547","1483108547","111.003199","22.920458"
"864297800005909","1483109739","1483109739","111.00975","22.930149"
"864297800005909","1483110339","1483110339","111.009726","22.930159"
"864297800005909","1483111539","1483111539","111.009523","22.930514"
"864297800005909","1483112149","1483112149","111.000535","22.915053"
"864297800005909","1483113339","1483113339","111.000535","22.915053"
"864297800005909","1483113943","1483113943","111.013867","22.915412"
"864297800005909","1483115143","1483115143","111.013867","22.915412"
"864297800005909","1483115743","1483115743","111.013867","22.915412"
"864297800005909","1483116943","1483116943","111.013867","22.915412"
"864297800005909","1483117543","1483117543","111.013867","22.915412"
"864297800005909","1483118733","1483118733","111.013867","22.915412"
"864297800005909","1483119333","1483119333","111.013867","22.915412"
"864297800005909","1483120543","1483120543","111.013867","22.915412"
"864297800005909","1483121143","1483121143","111.013867","22.915412"
"864297800005909","1483122333","1483122333","111.013867","22.915412"
"864297800005909","1483122943","1483122943","111.013867","22.915412"
"864297800005909","1483124143","1483124143","111.013867","22.915412"
"864297800005909","1483124743","1483124743","111.013867","22.915412"
"864297800005909","1483125943","1483125943","111.013867","22.915412"
"864297800005909","1483126543","1483126543","111.013867","22.915412"
"864297800005909","1483127743","1483127743","111.013867","22.915412"
"864297800005909","1483128333","1483128333","111.013867","22.915412"
"864297800005909","1483129533","1483129533","111.013867","22.915412"
"864297800005909","1483130143","1483130143","111.013867","22.915412"
"864297800005909","1483131343","1483131343","111.013867","22.915412"
"864297800005909","1483131943","1483131943","111.013867","22.915412"
"864297800005909","1483133143","1483133143","111.013867","22.915412"
"864297800005909","1483133743","1483133743","111.013867","22.915412"
"864297800005909","1483134943","1483134943","111.013968","22.91549"
"864297800005909","1483135553","1483135553","111.013912","22.915417"
"864297800005909","1483136753","1483136753","111.013728","22.915363"
"864297800005909","1483137343","1483137343","111.013746","22.915455"
"864297800005909","1483138543","1483138543","111.013733","22.91542"
"864297800005909","1483139153","1483139153","111.013832","22.915429"
"864297800005909","1483140343","1483140343","111.013832","22.915429"
"864297800005909","1483140933","1483140933","111.013832","22.915429"
"864297800005909","1483142143","1483142143","111.013832","22.915429"
"864297800005909","1483142743","1483142743","111.013832","22.915429"
"864297800005909","1483143933","1483143933","111.013832","22.915429"
"864297800005909","1483144543","1483144543","111.013832","22.915429"
"864297800005909","1483145743","1483145743","111.013797","22.915429"
"864297800005909","1483146343","1483146343","111.013797","22.915429"
"864297800005909","1483147533","1483147533","111.013797","22.915429"
"864297800005909","1483148133","1483148133","111.013797","22.915429"
"864297800005909","1483149333","1483149333","111.013797","22.915429"
"864297800005909","1483149933","1483149933","111.013797","22.915429"
"864297800005909","1483151133","1483151133","111.013778","22.915339"
"864297800005909","1483151753","1483151753","111.013778","22.915339"
"864297800005909","1483152953","1483152953","111.013778","22.915339"
"864297800005909","1483153533","1483153533","111.013778","22.915339"
"864297800005909","1483154733","1483154733","111.013854","22.915397"
"864297800005909","1483155333","1483155333","111.013854","22.915397"
"864297800005909","1483156543","1483156543","111.006432","22.919275"
"864297800005909","1483157143","1483157143","111.0064","22.91936"
"864297800005909","1483158353","1483158353","111.006384","22.919342"
"864297800005909","1483158953","1483158953","111.006384","22.919342"
"864297800005909","1483160383","1483160383","111.00637","22.919234"
"864297800005909","1483160733","1483160733","111.006367","22.919274"
"864297800005909","1483161943","1483161943","111.00634","22.919137"
"864297800005909","1483162539","1483162539","111.009793","22.925131"
"864297800005909","1483163743","1483163743","111.023893","22.939272"
"864297800005909","1483164333","1483164333","111.023893","22.939272"
"864297800005909","1483165549","1483165549","111.019394","22.937434"
"864297800005909","1483166139","1483166139","111.042937","22.952745"
"864297800005909","1483167339","1483167339","111.042937","22.952745"
"864297800005909","1483167939","1483167939","111.042937","22.952745"
"864297800005909","1483169139","1483169139","111.042937","22.952745"
"864297800005909","1483169737","1483169737","111.042937","22.952745"
"864297800005909","1483170947","1483170947","111.042937","22.952745"
"864297800005909","1483171537","1483171537","111.042937","22.952745"
"864297800005909","1483172737","1483172737","111.042937","22.952745"
"864297800005909","1483173337","1483173337","111.042937","22.952745"
"864297800005909","1483174539","1483174539","111.042937","22.952745"
"864297800005909","1483175137","1483175137","111.042937","22.952745"
"864297800005909","1483176337","1483176337","111.043034","22.952773"
"864297800005909","1483176937","1483176937","111.043034","22.952773"
"864297800005909","1483178137","1483178137","111.043034","22.952773"
"864297800005909","1483178737","1483178737","111.043034","22.952773"
"864297800005909","1483179947","1483179947","111.043034","22.952773"
"864297800005909","1483180537","1483180537","111.043034","22.952773"
"864297800005909","1483181747","1483181747","111.043034","22.952773"
"864297800005909","1483182337","1483182337","111.043034","22.952773"
